AreaName,Year,GroupName,SubGroupName,AutoTheftCoordinatedTraced,AutoTheftRecovered,AutoTheftStolen,SuccessRate
Nagaland,2002,AT6-Total,6. Total (Sum of 1-5 Above),0,26,161,0.161490683
Odisha,2002,AT6-Total,6. Total (Sum of 1-5 Above),63,358,1028,0.348249027
Puducherry,2002,AT6-Total,6. Total (Sum of 1-5 Above),0,52,258,0.201550388
Punjab,2002,AT6-Total,6. Total (Sum of 1-5 Above),445,644,1345,0.478810409
Rajasthan,2002,AT6-Total,6. Total (Sum of 1-5 Above),52,991,4433,0.223550643
Sikkim,2002,AT6-Total,6. Total (Sum of 1-5 Above),0,5,5,1
Tamil Nadu,2002,AT6-Total,6. Total (Sum of 1-5 Above),48,3205,4677,0.685268334
Tripura,2002,AT6-Total,6. Total (Sum of 1-5 Above),0,64,73,0.876712329
Uttar Pradesh,2002,AT6-Total,6. Total (Sum of 1-5 Above),10,1478,5689,0.259799613
Uttarakhand,2002,AT6-Total,6. Total (Sum of 1-5 Above),0,98,352,0.278409091
West Bengal,2002,AT6-Total,6. Total (Sum of 1-5 Above),130,681,3438,0.198080279
Andaman & Nicobar Islands,2003,AT6-Total,6. Total (Sum of 1-5 Above),0,2,5,0.4
Andhra Pradesh,2003,AT6-Total,6. Total (Sum of 1-5 Above),83,1972,4732,0.416737109
Arunachal Pradesh,2003,AT6-Total,6. Total (Sum of 1-5 Above),0,12,50,0.24
Assam,2003,AT6-Total,6. Total (Sum of 1-5 Above),0,132,756,0.174603175
Bihar,2003,AT6-Total,6. Total (Sum of 1-5 Above),23,293,1340,0.218656716
Chandigarh,2003,AT6-Total,6. Total (Sum of 1-5 Above),0,286,566,0.505300353
Chhattisgarh,2003,AT6-Total,6. Total (Sum of 1-5 Above),0,390,1131,0.344827586
Dadra & Nagar Haveli,2003,AT6-Total,6. Total (Sum of 1-5 Above),0,9,15,0.6
Daman & Diu,2003,AT6-Total,6. Total (Sum of 1-5 Above),5,9,27,0.333333333
Delhi,2003,AT6-Total,6. Total (Sum of 1-5 Above),489,1427,7688,0.185613944
Goa,2003,AT6-Total,6. Total (Sum of 1-5 Above),2,43,134,0.320895522
Gujarat,2003,AT6-Total,6. Total (Sum of 1-5 Above),472,2286,7244,0.315571507
Haryana,2003,AT6-Total,6. Total (Sum of 1-5 Above),139,1546,3293,0.469480717
Himachal Pradesh,2003,AT6-Total,6. Total (Sum of 1-5 Above),2,110,218,0.504587156
Jammu & Kashmir,2003,AT6-Total,6. Total (Sum of 1-5 Above),9,156,576,0.270833333
Jharkhand,2003,AT6-Total,6. Total (Sum of 1-5 Above),0,98,347,0.282420749
Karnataka,2003,AT6-Total,6. Total (Sum of 1-5 Above),98,1329,4333,0.306715901
Kerala,2003,AT6-Total,6. Total (Sum of 1-5 Above),1,631,1668,0.378297362
Lakshadweep,2003,AT6-Total,6. Total (Sum of 1-5 Above),1,1,1,1
Madhya Pradesh,2003,AT6-Total,6. Total (Sum of 1-5 Above),0,1751,5208,0.336213518
Maharashtra,2003,AT6-Total,6. Total (Sum of 1-5 Above),826,2752,9271,0.296839607
Manipur,2003,AT6-Total,6. Total (Sum of 1-5 Above),0,11,124,0.088709677
Meghalaya,2003,AT6-Total,6. Total (Sum of 1-5 Above),0,17,108,0.157407407
Mizoram,2003,AT6-Total,6. Total (Sum of 1-5 Above),0,54,56,0.964285714
Nagaland,2003,AT6-Total,6. Total (Sum of 1-5 Above),0,58,225,0.257777778
Odisha,2003,AT6-Total,6. Total (Sum of 1-5 Above),103,347,1076,0.322490706
Puducherry,2003,AT6-Total,6. Total (Sum of 1-5 Above),65,65,295,0.220338983
Punjab,2003,AT6-Total,6. Total (Sum of 1-5 Above),356,585,1427,0.409950946
Rajasthan,2003,AT6-Total,6. Total (Sum of 1-5 Above),62,1061,5267,0.201442947
Sikkim,2003,AT6-Total,6. Total (Sum of 1-5 Above),0,3,3,1
Tamil Nadu,2003,AT6-Total,6. Total (Sum of 1-5 Above),1213,3212,4581,0.701156953
Tripura,2003,AT6-Total,6. Total (Sum of 1-5 Above),0,7,53,0.132075472
Uttar Pradesh,2003,AT6-Total,6. Total (Sum of 1-5 Above),25,1406,4720,0.297881356
Uttarakhand,2003,AT6-Total,6. Total (Sum of 1-5 Above),0,122,369,0.330623306
West Bengal,2003,AT6-Total,6. Total (Sum of 1-5 Above),148,627,2581,0.242929097
Andaman & Nicobar Islands,2004,AT6-Total,6. Total (Sum of 1-5 Above),0,9,9,1
Andhra Pradesh,2004,AT6-Total,6. Total (Sum of 1-5 Above),319,2169,4741,0.457498418
Arunachal Pradesh,2004,AT6-Total,6. Total (Sum of 1-5 Above),0,31,75,0.413333333
Assam,2004,AT6-Total,6. Total (Sum of 1-5 Above),0,166,894,0.185682327
Bihar,2004,AT6-Total,6. Total (Sum of 1-5 Above),0,312,2083,0.149783965
Chandigarh,2004,AT6-Total,6. Total (Sum of 1-5 Above),0,218,674,0.323442136
Chhattisgarh,2004,AT6-Total,6. Total (Sum of 1-5 Above),0,502,1316,0.381458967
Dadra & Nagar Haveli,2004,AT6-Total,6. Total (Sum of 1-5 Above),0,14,24,0.583333333
Daman & Diu,2004,AT6-Total,6. Total (Sum of 1-5 Above),0,5,12,0.416666667
Delhi,2004,AT6-Total,6. Total (Sum of 1-5 Above),346,2121,8924,0.237673689
Goa,2004,AT6-Total,6. Total (Sum of 1-5 Above),5,44,125,0.352
Gujarat,2004,AT6-Total,6. Total (Sum of 1-5 Above),528,2151,6936,0.310121107
Haryana,2004,AT6-Total,6. Total (Sum of 1-5 Above),0,1612,3735,0.431593039
Himachal Pradesh,2004,AT6-Total,6. Total (Sum of 1-5 Above),12,96,213,0.450704225
Jammu & Kashmir,2004,AT6-Total,6. Total (Sum of 1-5 Above),13,141,573,0.246073298
Jharkhand,2004,AT6-Total,6. Total (Sum of 1-5 Above),0,114,718,0.158774373
Karnataka,2004,AT6-Total,6. Total (Sum of 1-5 Above),124,1485,5733,0.259026688
Kerala,2004,AT6-Total,6. Total (Sum of 1-5 Above),0,725,1717,0.422248107
Madhya Pradesh,2004,AT6-Total,6. Total (Sum of 1-5 Above),192,1841,6246,0.294748639
Maharashtra,2004,AT6-Total,6. Total (Sum of 1-5 Above),422,3621,11307,0.320244097
Manipur,2004,AT6-Total,6. Total (Sum of 1-5 Above),0,5,109,0.04587156
